0696S3;Lithuania
32G2S1;Lithuania
98P1G1;Lithuania
81G2S1;Lithuania
85G2S1;Lithuania
05G2S1;Lithuania
74GSV1;Lithuania
4GSV11;Lithuania
335GS2;Lithuania
90P1G1;Lithuania
479889;Africa
672342;Africa
718533;Africa
718534;Africa
718535;Africa
781308;Africa
781309;Africa
781310;Africa
781311;Africa
781312;Africa
781313;Africa
434234;Africa
V-SY18;China
J-2018;China
460730;Italy
460731;Italy
460732;Italy
460733;Italy
460734;Italy
460735;Italy
460736;Italy
460737;Italy
460738;Italy
460739;Italy
460740;Italy
460741;Italy
660695;Serbia
660696;Serbia
660697;Serbia
660698;Serbia
660699;Serbia
863253;Latvia
682468;Georgia
847623;Poland
459800;Russia
847622;Poland
847621;Poland
847620;Poland
715134;Hungary
628478;Lithuania
543947;Belgium
306192;Russia
306191;Russia
306190;Russia
899193;Germany
681419;Poland
722600;Czechia
722599;Moldova
536725;Belgium
939589;Poland
939588;Poland
939587;Poland
939586;Poland
939585;Poland
939584;Poland
939583;Poland
605386;Italy
376273;Germany
376272;Germany
376271;Germany
376268;Germany
376267;Germany
376266;Germany
376265;Germany
376264;Germany
376263;Germany
376262;Germany
376261;Germany
376260;Germany
376259;Germany
376258;Germany
376257;Germany
376256;Germany
376255;Germany
376254;Germany
376253;Germany
376252;Germany
376251;Germany
376250;Germany
108571;Italy
799941;Russia
966721;Russia
966720;Russia
966719;Russia
966718;Russia
966717;Russia
966716;Russia
966715;Russia
966714;Russia
Ukra24;Ukraine
Ukra20;Ukraine
Ukra12;Ukraine
Ukra10;Ukraine
Ukra23;Ukraine
