tip	date	distance	residual
OX376260	2021.295890410959	3.48E-4	-1.4336980385310687E-5
OX376254	2021.054794520548	3.48E-4	-1.316781569914269E-5
OX376251	2021.295890410959	3.47E-4	-1.533698038531071E-5
OX376255	2021.131506849315	3.5E-4	-1.153982264473979E-5
OX376258	2020.9016393442623	3.43E-4	-1.7425108623911247E-5
OX376250	2020.8743169398906	3.43E-4	-1.729261200491888E-5
OX376272	2021.572602739726	3.4599999999999995E-4	-1.767886258193744E-5
OX376261	2020.7650273224044	3.4E-4	-1.976262552894764E-5
LR899193	2020.6830601092897	3.38E-4	-2.136513567197059E-5
OX376256	2020.7185792349726	3.38E-4	-2.1537381276659625E-5
OX376257	2021.323287671233	3.37E-4	-2.5469840008740324E-5
OX376263	2021.3424657534247	3.37E-4	-2.5562841745139164E-5
OX376252	2021.1068493150685	3.37E-4	-2.4420248983656053E-5
MT847620	2017.5	3.34E-4	-9.929279559316444E-6
OX376273	2021.5698630136985	3.4599999999999995E-4	-1.766557661959326E-5
OX376266	2021.5643835616438	3.4599999999999995E-4	-1.7639004694908374E-5
OX376267	2021.5260273972603	3.4599999999999995E-4	-1.745300122210896E-5
OX376259	2021.3561643835617	3.4599999999999995E-4	-1.662927155685317E-5
OX376271	2021.5671232876712	3.41E-4	-2.2652290657250776E-5
OX376264	2021.5369863013698	3.41E-4	-2.2506145071480427E-5
OX376265	2021.5369863013698	3.4E-4	-2.3506145071480397E-5
OX376262	2021.1424657534246	3.4E-4	-2.1592966494113006E-5
OX376253	2021.2986301369863	3.4199999999999996E-4	-2.0350266347653168E-5
OX376268	2021.490410958904	3.36E-4	-2.728028371165196E-5
MT847622	2017.5	3.31E-4	-1.2929279559316408E-5
LTU_2019_09074GSV11	2019.5260273972603	3.52E-4	-1.7542487118423237E-6
LTU_2019_09335GS2	2019.545205479452	3.52E-4	-1.8472504482411637E-6
LTU_2019_09074GSV1	2019.5260273972603	3.5499999999999996E-4	1.2457512881576408E-6
LTU_2019_09790P1G1	2019.5917808219178	3.5999999999999997E-4	5.9268881919303336E-6
LTU_2019_00598P1G1	2019.021917808219	3.39E-4	-1.2309631640759831E-5
