0696S3;wild boar
32G2S1;wild boar
98P1G1;wild boar
81G2S1;wild boar
85G2S1;domestic pig
05G2S1;wild boar
74GSV1;domestic pig
4GSV11;domestic pig
335GS2;domestic pig
90P1G1;domestic pig
479889;domestic pig
672342;wild boar
718533;domestic pig
718534;domestic pig
718535;domestic pig
781308;domestic pig
781309;domestic pig
781310;domestic pig
781311;domestic pig
781312;domestic pig
781313;domestic pig
434234;domestic pig
V-SY18;wild boar
J-2018;wild boar
460730;wild boar
460731;wild boar
460732;wild boar
460733;wild boar
460734;wild boar
460735;wild boar
460736;wild boar
460737;wild boar
460738;wild boar
460739;wild boar
460740;wild boar
460741;wild boar
660695;wild boar
660696;wild boar
660697;wild boar
660698;wild boar
660699;wild boar
863253;wild boar
682468;domestic pig
847623;wild boar
459800;wild boar
847622;domestic pig
847621;domestic pig
847620;wild boar
715134;wild boar
628478;wild boar
543947;wild boar
306192;wild boar
306191;wild boar
306190;wild boar
899193;domestic pig
681419;wild boar
722600;wild boar
722599;domestic pig
536725;wild boar
939589;wild boar
939588;wild boar
939587;wild boar
939586;domestic pig
939585;domestic pig
939584;domestic pig
939583;domestic pig
605386;wild boar
376273;wild boar
376272;wild boar
376271;wild boar
376268;wild boar
376267;wild boar
376266;wild boar
376265;domestic pig
376264;domestic pig
376263;wild boar
376262;wild boar
376261;wild boar
376260;wild boar
376259;wild boar
376258;wild boar
376257;wild boar
376256;wild boar
376255;wild boar
376254;wild boar
376253;wild boar
376252;wild boar
376251;wild boar
376250;wild boar
108571;wild boar
799941;wild boar
966721;wild boar
966720;wild boar
966719;wild boar
966718;wild boar
966717;wild boar
966716;wild boar
966715;wild boar
966714;wild boar
Ukra24;unknown
Ukra20;domestic pig
Ukra12;unknown
Ukra10;domestic pig
Ukra23;unknown
