tip	date	distance	residual
OX376273	2021.5698630136985	1.7588786286377433E-4	-7.621936513710792E-7
OX376259	2021.3561643835617	1.7588786286377433E-4	2.294144009341414E-7
OX376267	2021.5260273972603	1.7588786286377433E-4	-5.587868714117012E-7
OX376266	2021.5643835616438	1.7588786286377433E-4	-7.367678038759401E-7
OX376253	2021.2986301369863	1.7388786286377434E-4	-1.5036142003677598E-6
OX376264	2021.5369863013698	1.6888786286377433E-4	-7.609638566401987E-6
OX376262	2021.1424657534246	1.6788786286377433E-4	-6.778977546760643E-6
OX376271	2021.5671232876712	1.6688786286377433E-4	-9.749480727624379E-6
OX376265	2021.5369863013698	1.6588786286377433E-4	-1.0609638566401978E-5
OX376268	2021.490410958904	1.6588786286377433E-4	-1.0393518862694164E-5
LR899193	2020.6830601092897	1.6388786286377434E-4	-8.64723558984215E-6
OX376261	2020.7650273224044	1.6788786286377433E-4	-5.027581259336403E-6
OX376257	2021.323287671233	1.6388786286377434E-4	-1.1618030514096752E-5
OX376256	2020.7185792349726	1.6388786286377434E-4	-8.81205204662322E-6
OX376263	2021.3424657534247	1.6188786286377435E-4	-1.3707020980328866E-5
OX376252	2021.1068493150685	1.6088786286377435E-4	-1.3613709538043086E-5
MT847620	2017.5	1.5888786286377435E-4	1.1228545755546015E-6
OX376254	2021.054794520548	1.7188786286377434E-4	-2.372163986840136E-6
OX376251	2021.295890410959	1.7188786286377434E-4	-3.490901276621052E-6
OX376260	2021.295890410959	1.7088786286377432E-4	-4.490901276621076E-6
OX376255	2021.131506849315	1.7488786286377434E-4	2.7187414822964304E-7
OX376272	2021.572602739726	1.6888786286377433E-4	-7.774906575119524E-6
OX376250	2020.8743169398906	1.6388786286377434E-4	-9.534708818662626E-6
OX376258	2020.9016393442623	1.6288786286377434E-4	-1.0661490708494616E-5
MT847622	2017.5	1.5688786286377436E-4	-8.771454244453929E-7
OM966721	2018.4794520547946	1.7988786286377432E-4	1.7577984335819707E-5
OM966715	2018.5753424657535	1.8488786286377433E-4	2.2133032004657388E-5
OM966718	2018.5150684931507	1.8288786286377434E-4	2.041271632710219E-5
OM966720	2018.5972602739726	1.6988786286377435E-4	7.031328614676846E-6
OM966719	2019.3616438356164	1.6988786286377435E-4	3.4844228891214217E-6
OM966714	2018.5972602739726	1.7788786286377433E-4	1.5031328614676824E-5
OM799941	2017.849315068493	1.6488786286377434E-4	5.5019567977485746E-6
LTU_2019_09074GSV11	2019.5260273972603	1.7788786286377433E-4	1.0721647464270696E-5
LTU_2019_09335GS2	2019.545205479452	1.7788786286377433E-4	1.0632656998038576E-5
LTU_2019_09074GSV1	2019.5260273972603	1.8088786286377435E-4	1.3721647464270715E-5
LTU_2019_09790P1G1	2019.5917808219178	1.858878628637743E-4	1.841653729433074E-5
LTU_2019_00598P1G1	2019.021917808219	1.6588786286377433E-4	1.060825433813091E-6
OM966716	2018.5013698630137	1.8188786286377432E-4	1.9476280945839145E-5
OM966717	2018.5123287671233	1.6788786286377433E-4	5.425429250848878E-6
Ukraine_10	2017.6219178082192	1.7388786286377434E-4	1.5557129468790778E-5
LTU_2019_01881G2S1	2019.0739726027398	1.5388786286377434E-4	-1.1180720117389857E-5
LTU_2019_07885G2S1	2019.4575342465753	1.5388786286377434E-4	-1.296052944204092E-5
MT847621	2018.5	1.7388786286377434E-4	1.1482637407713385E-5
MG939586	2016.7431693989072	1.7388786286377434E-4	1.9634712923894353E-5
MG939585	2016.6065573770493	1.7888786286377432E-4	2.5268622373052566E-5
MG939583	2016.603825136612	1.7888786286377432E-4	2.528130056203559E-5
MG939587	2017.0794520547945	1.7788786286377433E-4	2.2074288370797394E-5
MT847623	2019.8465753424657	1.6688786286377433E-4	-1.7657646141871315E-6
MG939588	2017.1123287671232	1.6688786286377433E-4	1.0921733285828298E-5
MG939589	2017.150684931507	1.7088786286377432E-4	1.4743752353362313E-5
OR460736	2022.5890410958905	1.7788786286377433E-4	-3.4914012854461403E-6
OR460738	2022.4164383561645	1.7788786286377433E-4	-2.6904870893535956E-6
OR460741	2022.5616438356165	1.7688786286377433E-4	-4.364272047970442E-6
OR460731	2022.4712328767123	1.7588786286377433E-4	-4.944745564303246E-6
OR460733	2022.2493150684932	1.8188786286377432E-4	2.0850012592455336E-6
OR460737	2022.3205479452056	1.8188786286377432E-4	1.75446524181046E-6
ON108571	2022.0	1.8588786286377433E-4	7.241877320268307E-6
OR460740	2022.3260273972603	1.7588786286377433E-4	-4.270960605684662E-6
OR460732	2022.2438356164384	1.7788786286377433E-4	-1.889572893259316E-6
OR460739	2022.3972602739725	1.7688786286377433E-4	-3.6014966231197386E-6
MW306191	2019.654794520548	1.7388786286377434E-4	6.12414004813754E-6
MW306190	2019.6575342465753	1.7388786286377434E-4	6.111427124390838E-6
MN715134	2018.309589041096	1.5188786286377435E-4	-9.633814391834427E-6
China_ASFV-SY18	2018.495890410959	1.4288786286377434E-4	-1.949829320666569E-5
China_HLJ-2018	2018.676712328767	1.4288786286377434E-4	-2.0337346174000075E-5
LTU_2018_00696S3	2018.041095890411	1.5788786286377433E-4	-2.3879478645795666E-6
LTU_2019_08805G2S1	2019.5150684931507	1.5788786286377433E-4	-9.227500840739024E-6
MK543947	2018.690410958904	1.3788786286377433E-4	-2.5400910792738803E-5
LR722600	2017.5	1.4188786286377435E-4	-1.5877145424445405E-5
LR536725	2018.6657534246576	1.4188786286377435E-4	-2.128649447901153E-5
LR722599	2017.5	1.4688786286377433E-4	-1.0877145424445419E-5
Ukraine_20	2017.5369863013698	1.4688786286377433E-4	-1.104876989503544E-5
OR660698	2019.690410958904	1.4088786286377435E-4	-2.7041127960579985E-5
Ukraine_24	2018.6438356164383	1.4688786286377433E-4	-1.6184791089030986E-5
Ukraine_12	2017.8301369863013	1.5688786286377436E-4	-2.4090527360192836E-6
Ukraine_23	2018.172602739726	1.5088786286377432E-4	-9.998168204459443E-6
OR460730	2022.1835616438357	1.5888786286377435E-4	-2.0609888570814495E-5
OR460735	2022.4602739726026	1.5888786286377435E-4	-2.1893893869312948E-5
OR660699	2022.6383561643836	1.7288786286377434E-4	-8.720233912900644E-6
OR660695	2021.5369863013698	1.8088786286377435E-4	4.390361433598034E-6
OR660696	2019.6301369863013	1.6088786286377435E-4	-6.761443638133457E-6
OP605386	2022.5	1.5188786286377435E-4	-2.9078231263651413E-5
OR460734	2022.4438356164383	1.4988786286377435E-4	-3.081761632682753E-5
OR660697	2020.0245901639344	1.5288786286377434E-4	-1.659179204489651E-5
FR682468	2007.5	1.1188786286377435E-4	5.250262539683453E-7
LTU_2019_0332G2S1	2019.0164383561644	2.0288786286377434E-4	3.8086251281308235E-5
MK628478	2014.054794520548	1.7588786286377433E-4	3.410935618804826E-5
MH681419	2015.0849315068492	1.8388786286377434E-4	3.73292968589864E-5
MW306192	2019.6356164383562	2.2088786286377437E-4	5.321313051436969E-5
MT459800	2019.2301369863014	1.6788786286377436E-4	2.094643229001296E-6
OP781312	2019.5	1.8288786286377434E-4	1.5842420239872186E-5
OP781313	2005.5	1.0688786286377435E-4	4.805460589650748E-6
OP781311	2015.5	1.6588786286377436E-4	1.740328891123701E-5
OP781310	2011.5	1.7188786286377434E-4	4.1964157582603535E-5
OP781308	2007.5	6.988786286377434E-5	-4.147497374603166E-5
OP781309	1998.5	1.588786286377435E-5	-5.3713019235460845E-5
OP479889	2022.0082191780823	1.8311213713622564E-4	4.428012821477772E-6
OP718535	2022.0904109589042	1.8311213713622564E-4	4.04662510905242E-6
