Belgium,Czechia,Georgia,Germany,Hungary,Italy,Lithuania,Moldova,Poland,Armur,Kaliningrad,Karbardino-Balkaria,Primorsky,Ukraine
Belgium,NA,2.3,0.9,1,1.7,16.1,1.3,2.2,1,1.2,1,0,1.5,1.1
Czechia,3.1,NA,1.1,1.3,2.7,2.1,1.6,2.9,1.1,1.8,1,0,1.4,1.1
Georgia,1,0.8,NA,0.8,0.8,0.6,3.7,0.9,21.1,0.9,1.3,0,1,1.9
Germany,1.2,1.1,1.1,NA,1.1,1,1.1,1.2,1,1.1,1.2,0,0.9,0.9
Hungary,1.5,1.8,0.9,1.2,NA,1.6,1.1,1.3,1.2,5.4,0.9,0,6.7,1.1
Italy,1.9,1.7,1.4,1.4,1.8,NA,1.4,1.6,1.3,1.9,1.4,0,1.7,1.2
Lithuania,2.4,2.7,0.8,2.1,2,1.2,NA,2.3,4.9,1.3,8.7,0,1.4,7.2
Moldova,3.1,2.4,1.2,1.2,2.7,2.1,1.3,NA,1.2,2.6,1.3,0,1.8,1.4
Poland,0.9,1.3,0.7,31.1,1.2,0.5,24.7,1.5,NA,0.6,12.5,0,0.8,17.1
Armur,1,1.1,1,1,1.9,0.8,1,1,1,NA,0.8,0,5.8,0.8
Kaliningrad,1.2,1.2,1.1,1.4,1.1,1.1,9.6,1,1.4,1.1,NA,0,0.8,1.4
Karbardino-Balkaria,0,0,0,0,0,0,0,0,0,0,0,NA,0,0
Primorsky,1.1,1.6,1.1,1.4,3.2,1.2,1.3,1.5,1.1,9.9,1,0,NA,1.1
Ukraine,10.1,11.5,0.6,1.4,6.8,2.9,3.1,10,1.6,2.8,1.6,0,3,NA
